"","circ_id","mmu1","mmu2","mmu3"
"587","10:7567098|7573413",7,NA,NA
"588","10:75740217|75747490",NA,NA,3
"589","10:75750897|75752745",NA,NA,3
"590","10:7577373|7578884",NA,NA,3
"591","10:7577787|7577994",NA,2,NA
"592","10:76043487|76044396",2,NA,NA
"593","10:76053147|76056996",3,NA,NA
"594","10:76053147|76058444",NA,NA,7
"595","10:76061121|76062149",NA,NA,2
"596","10:76203141|76205913",NA,NA,5
"597","10:76268837|76273050",NA,NA,6
"598","10:76346853|76348402",2,NA,3
"599","10:76531046|76531309",NA,NA,3
"600","10:7686125|7690575",NA,NA,2
"601","10:77518779|77522182",2,NA,NA
"602","10:77727503|77727666",2,NA,NA
"603","10:77831077|77833453",NA,2,NA
"604","10:77833357|77835768",NA,NA,2
"605","10:77998047|77998325",2,NA,NA
"606","10:77998054|77998332",2,NA,NA
"607","10:7800448|7808972",3,NA,NA
"608","10:79694585|79695789",NA,NA,2
"609","10:79766468|79767912",3,NA,NA
"610","10:79782318|79787707",NA,NA,2
"611","10:79836545|79836924",NA,NA,2
"612","10:79899978|79900076",NA,NA,2
"613","10:79905115|79905885",NA,NA,12
"614","10:80005849|80006174",NA,NA,2
"615","10:80154754|80155188",2,NA,NA
"616","10:80418274|80418462",NA,NA,2
"617","10:80547945|80548764",NA,NA,5
"618","10:80547945|80551013",NA,NA,2
"619","10:80547945|80555646",NA,NA,2
"620","10:80558945|80559118",NA,NA,2
"621","10:80565811|80568780",3,NA,NA
"622","10:80639416|80639722",NA,3,3
"623","10:80708602|80708883",2,NA,NA
"624","10:80866802|80867393",4,NA,NA
"625","10:81116599|81118874",NA,5,NA
"626","10:81118771|81119439",NA,2,NA
"627","10:81144781|81145081",NA,NA,4
"628","10:81426186|81426423",2,NA,NA
"629","10:82544842|82548072",NA,NA,2
"630","10:82564086|82570315",NA,NA,2
"631","10:83117233|83119733",2,NA,4
"632","10:83117233|83140239",2,NA,NA
"633","10:83133017|83140239",NA,2,3
"634","10:83151918|83152653",NA,NA,2
"635","10:83342461|83348301",4,NA,NA
"636","10:83456561|83457617",3,NA,NA
"637","10:83622189|83622354",3,NA,NA
"638","10:84420611|84430648",NA,NA,9
"639","10:84503185|84520168",NA,NA,6
"640","10:84783275|84783884",6,2,12
"641","10:85845291|85845469",NA,NA,3
"642","10:86594121|86595100",NA,NA,2
"643","10:87960669|87969060",NA,NA,4
"644","10:88049508|88055222",NA,NA,2
"645","10:88164944|88172850",4,NA,NA
"646","10:88236513|88250460",6,4,4
"647","10:88236513|88255422",NA,NA,2
"648","10:88247777|88255422",14,NA,2
"649","10:88644943|88645947",3,NA,14
"650","10:88722000|88722216",3,NA,NA
"651","10:88807129|88808753",3,NA,NA
"652","10:88948652|88961086",NA,NA,4
"653","10:89117972|89153204",NA,2,NA
"654","10:89152952|89163195",3,NA,26
"655","10:89608448|89630486",NA,NA,5
"656","10:89622966|89630486",NA,NA,4
"657","10:89647348|89652083",NA,NA,2
"658","10:93044033|93047937",NA,NA,4
"659","10:93105063|93105228",3,NA,NA
"660","10:93295678|93297292",NA,NA,3
"661","10:93998111|94003590",NA,NA,2
"662","10:94414284|94418271",NA,NA,2
"663","10:94561508|94564584",NA,NA,2
"664","10:94584802|94586521",8,NA,6
"665","10:95825423|95831552",4,NA,3
"666","10:9673865|9675812",18,14,34
"667","10:98804555|98804986",NA,2,NA
