"","circ_id","mmu1","mmu2","mmu3"
"436","1:89671449|89694186",NA,4,NA
"437","1:89694027|89717046",NA,2,11
"438","1:89762155|89770965",12,4,9
"439","1:91181481|91182115",NA,NA,5
"440","1:91312286|91313068",NA,NA,1
"441","1:91358495|91358862",NA,1,NA
"442","1:91372306|91378565",1,NA,NA
"443","1:91919204|91929997",4,NA,NA
"444","1:91982622|92076216",NA,1,NA
"445","1:92075977|92076216",NA,3,8
"446","1:92379732|92398707",3,NA,NA
"447","1:93347790|93353128",NA,NA,1
"448","1:93347790|93359240",NA,NA,2
"449","1:93348805|93351596",2,NA,2
"450","1:93364815|93369972",NA,NA,2
"451","1:93425062|93428281",3,NA,1
"452","1:93527644|93532065",2,NA,2
"453","1:93642619|93653038",5,NA,6
"454","1:93695774|93701590",NA,1,NA
"455","1:93712474|93713688",NA,NA,5
"456","10:105249077|105249648",NA,1,NA
"457","10:105600756|105601080",NA,1,NA
"458","10:105659020|105662452",NA,NA,2
"459","10:106840524|106889377",NA,1,NA
"460","10:108034693|108066457",1,NA,NA
"461","10:108075965|108078991",2,NA,12
"462","10:108104432|108110049",7,1,3
"463","10:108245323|108247929",NA,NA,4
"464","10:109590810|109594910",NA,NA,1
"465","10:109600378|109603498",1,NA,NA
"466","10:109600378|109606185",NA,NA,1
"467","10:109652114|109660542",2,NA,2
"468","10:109652114|109689395",NA,NA,1
"469","10:109688365|109699752",2,NA,NA
"470","10:111060532|111069551",NA,NA,4
"471","10:111811389|111818962",NA,NA,2
"472","10:115065029|115069163",NA,NA,4
"473","10:115242257|115242803",2,NA,7
"474","10:116333990|116335371",NA,1,3
"475","10:116353221|116373353",NA,1,NA
"476","10:116353221|116385080",13,3,53
"477","10:116363731|116385010",NA,NA,7
"478","10:116363731|116385080",5,2,3
"479","10:116773301|116775386",NA,3,10
"480","10:116893695|116894103",NA,1,NA
"481","10:116913416|116921028",NA,NA,1
"482","10:117191839|117196460",NA,NA,1
"483","10:117191839|117203893",NA,NA,7
"484","10:117196344|117203893",1,NA,NA
"485","10:117201985|117203893",NA,2,7
"486","10:117528486|117530973",10,7,12
"487","10:117528486|117541134",NA,1,NA
"488","10:117620899|117623816",NA,1,1
"489","10:117653248|117654514",NA,3,9
"490","10:117656366|117658774",NA,1,NA
"491","10:119765805|119781076",1,NA,NA
"492","10:119925312|119928593",NA,NA,6
"493","10:120012135|120018613",NA,NA,1
"494","10:120767625|120767934",NA,NA,1
"495","10:121124784|121132765",1,NA,NA
"496","10:121207048|121217196",NA,NA,2
"497","10:121387155|121387498",4,NA,NA
"498","10:121447380|121449576",NA,2,NA
"499","10:121454997|121458896",NA,1,NA
"500","10:121761720|121767414",4,NA,NA
"501","10:122692966|122756750",4,NA,NA
"502","10:122739996|122756750",NA,3,16
"503","10:12277054|12282338",NA,2,NA
"504","10:122850845|122852461",1,NA,NA
"505","10:12312024|12323836",NA,NA,3
"506","10:12312024|12331308",NA,2,13
"507","10:12317679|12362398",NA,NA,4
"508","10:12509687|12519355",1,NA,NA
"509","10:12536522|12539282",NA,NA,1
"510","10:12588997|12603656",NA,1,3
"511","10:12609642|12627331",NA,1,NA
"512","10:126827399|126829777",NA,NA,1
"513","10:126864233|126865551",NA,1,2
"514","10:127041543|127042579",NA,NA,3
"515","10:127145872|127146403",NA,NA,5
"516","10:127482759|127484058",NA,2,16
"517","10:127904540|127906101",NA,NA,2
"518","10:127920959|127922289",NA,NA,3
"519","10:127979263|127982529",3,NA,NA
"520","10:128078178|128078587",3,NA,NA
"521","10:128112354|128113087",1,NA,1
"522","10:128112354|128114686",NA,NA,1
"523","10:128113512|128114686",NA,NA,18
"524","10:128194202|128194402",1,NA,5
"525","10:128225116|128225432",NA,1,1
"526","10:128250987|128264572",NA,NA,1
"527","10:128304663|128305658",NA,1,NA
"528","10:128413968|128414961",7,5,15
"529","10:128415364|128417972",NA,3,13
"530","10:13100527|13129623",3,NA,NA
"531","10:14559807|14563452",NA,NA,3
"532","10:17965195|17972084",NA,1,5
"533","10:17968592|17970656",NA,NA,3
"534","10:17991463|17996966",NA,1,NA
"535","10:17995912|17996966",2,NA,NA
"536","10:18348666|18373905",NA,NA,1
"537","10:19762805|19770548",NA,3,NA
"538","10:19932220|19934836",NA,3,NA
"539","10:19943574|19958214",NA,3,NA
"540","10:19970107|19975943",3,NA,NA
"541","10:19975250|19975943",NA,1,NA
"542","10:19993890|19994329",NA,NA,3
"543","10:20106529|20122461",1,NA,4
"544","10:20121015|20122461",NA,NA,7
"545","10:20121015|20126226",9,NA,3
"546","10:20855278|20864583",NA,NA,1
"547","10:21175076|21183678",NA,NA,1
"548","10:21180428|21183678",1,1,4
"549","10:23674643|23681938",NA,NA,3
"550","10:23692190|23698916",NA,NA,3
"551","10:24660687|24663795",NA,1,NA
"552","10:24683343|24702196",NA,NA,2
"553","10:25096508|25165628",3,NA,3
"554","10:25143205|25147539",NA,NA,2
"555","10:25143205|25165628",NA,NA,2
"556","10:25317470|25319852",NA,NA,3
"557","10:25354906|25364991",1,NA,NA
"558","10:26189744|26194351",NA,1,NA
"559","10:26721927|26736728",3,NA,NA
"560","10:28139496|28139768",NA,1,NA
"561","10:28210471|28259720",NA,NA,5
"562","10:28230600|28259720",NA,NA,1
"563","10:28259426|28259720",NA,2,NA
"564","10:28341753|28342056",NA,NA,1
"565","10:28427613|28436161",NA,NA,2
"566","10:28445892|28451702",NA,8,NA
"567","10:30442421|30467098",NA,1,NA
