"gene_id","gene_name"
"ENSMFUG00003054000244","novel_gene_394_5d846b90"
"ENSMFUG00003031000004","novel_gene_1380_5d71f2e7"
"ENSMFUG00003061800004","novel_gene_1879_5d71f2e7"
"ENSMFUG00003053900244","novel_gene_2147_5d71f2e7"
"ENSMFUG00003020200004","novel_gene_1153_5d71f2e7"
"ENSMFUG00003038900004","novel_gene_1554_5d71f2e7"
"ENSMFUG00003024800004","novel_gene_1236_5d71f2e7"
"ENSMFUG00003012100004","novel_gene_2089_5d71f2e7"
"ENSMFUG00003016200244","novel_gene_33_5d769ab4"
"ENSMFUG00003079700004","novel_gene_2056_5d71f2e7"
"ENSMFUG00003076100004","novel_gene_1998_5d71f2e7"
"ENSMFUG00003001800004","novel_gene_507_5d71f2e7"
"ENSMFUG00003013700244","novel_gene_408_5d769ab4"
"ENSMFUG00003032600004","novel_gene_1424_5d71f2e7"
"ENSMFUG00003061700004","novel_gene_304_5d71f2e7"
"ENSMFUG00003028000094","novel_gene_1338_5d71f2e7"
"ENSMFUG00003028500004","novel_gene_2105_5d71f2e7"
"ENSMFUG00003074200004","novel_gene_1993_5d71f2e7"
"ENSMFUG00003003400004","novel_gene_566_5d71f2e7"
"ENSMFUG00003032700004","novel_gene_1427_5d71f2e7"
"ENSMFUG00003031300004","novel_gene_1390_5d71f2e7"
"ENSMFUG00003069100004","novel_gene_2179_5d71f2e7"
"ENSMFUG00003072800004","novel_gene_1984_5d71f2e7"
"ENSMFUG00003050900004","novel_gene_2144_5d71f2e7"
"ENSMFUG00003060400004","novel_gene_1870_5d71f2e7"
"ENSMFUG00003031600004","novel_gene_1393_5d71f2e7"
"ENSMFUG00003063800244","novel_gene_99_5d846b90"
"ENSMFUG00003030100014","novel_gene_1371_5d71f2e7"
"ENSMFUG00003050700004","novel_gene_1757_5d71f2e7"
"ENSMFUG00003046600004","novel_gene_2066_5d71f2e7"
"ENSMFUG00003048000004","novel_gene_1699_5d71f2e7"
"ENSMFUG00003030900004","novel_gene_1378_5d71f2e7"
"ENSMFUG00003074300004","novel_gene_2188_5d71f2e7"
"ENSMFUG00003018200004","novel_gene_2068_5d71f2e7"
"ENSMFUG00003084700004","novel_gene_393_5d71f2e7"
"ENSMFUG00003012200244","novel_gene_2090_5d71f2e7"
"ENSMFUG00003031700004","novel_gene_1394_5d71f2e7"
"ENSMFUG00003025900004","novel_gene_2026_5d71f2e7"
"ENSMFUG00003053800004","novel_gene_1801_5d71f2e7"
"ENSMFUG00003073800004","novel_gene_1990_5d71f2e7"
"ENSMFUG00003058900004","novel_gene_1858_5d71f2e7"
"ENSMFUG00003047700004","novel_gene_1685_5d71f2e7"
"ENSMFUG00003061200004","novel_gene_1878_5d71f2e7"
"ENSMFUG00003007400004","novel_gene_721_5d71f2e7"
"ENSMFUG00003050600004","novel_gene_2071_5d71f2e7"
"ENSMFUG00003073200004","novel_gene_1985_5d71f2e7"
"ENSMFUG00003064800004","novel_gene_1938_5d71f2e7"
"ENSMFUG00003068900004","novel_gene_1964_5d71f2e7"
"ENSMFUG00003000700004","novel_gene_460_5d71f2e7"
"ENSMFUG00003082400004","novel_gene_409_5d71f2e7"
"ENSMFUG00003007300004","novel_gene_712_5d71f2e7"
"ENSMFUG00003068400004","novel_gene_1960_5d71f2e7"
"ENSMFUG00003067300004","novel_gene_1952_5d71f2e7"
"ENSMFUG00003016400244","novel_gene_94_5d71f2e7"
"ENSMFUG00003058600004","novel_gene_415_5d71f2e7"
"ENSMFUG00003002700004","novel_gene_540_5d71f2e7"
"ENSMFUG00003062000004","novel_gene_1883_5d71f2e7"
"ENSMFUG00003010200244","novel_gene_25_5d769ab4"
"ENSMFUG00003009700244","novel_gene_405_5d769ab4"
"ENSMFUG00003076800004","novel_gene_2000_5d71f2e7"
"ENSMFUG00003002900244","novel_gene_24_5d71f2e7"
"ENSMFUG00003012300244","novel_gene_388_5d846b90"
"ENSMFUG00003001100004","novel_gene_473_5d71f2e7"
"ENSMFUG00003064600244","novel_gene_1936_5d71f2e7"
"ENSMFUG00003067700004","novel_gene_1954_5d71f2e7"
"ENSMFUG00003009600244","novel_gene_386_5d846b90"
"ENSMFUG00003043600014","novel_gene_1655_5d71f2e7"
"ENSMFUG00003000400004","novel_gene_2075_5d71f2e7"
"ENSMFUG00003058500004","novel_gene_2156_5d71f2e7"
"ENSMFUG00003070500244","novel_gene_352_5d71f2e7"
"ENSMFUG00003073300004","novel_gene_1987_5d71f2e7"
"ENSMFUG00003078800004","novel_gene_2005_5d71f2e7"
"ENSMFUG00003000500004","novel_gene_453_5d71f2e7"
"ENSMFUG00003073400004","novel_gene_1988_5d71f2e7"
"ENSMFUG00003052000114","novel_gene_1786_5d71f2e7"
"ENSMFUG00003072200004","novel_gene_1982_5d71f2e7"
"ENSMFUG00003048300004","novel_gene_1705_5d71f2e7"
"ENSMFUG00003037700004","novel_gene_426_5d71f2e7"
"ENSMFUG00003032400244","novel_gene_410_5d769ab4"
"ENSMFUG00003066000004","novel_gene_1944_5d71f2e7"
"ENSMFUG00003055700004","novel_gene_1825_5d71f2e7"
"ENSMFUG00003018500004","novel_gene_1107_5d71f2e7"
"ENSMFUG00003031500004","novel_gene_1391_5d71f2e7"
"ENSMFUG00003068500004","novel_gene_1961_5d71f2e7"
"ENSMFUG00003002400004","novel_gene_537_5d71f2e7"
"ENSMFUG00003062800244","novel_gene_396_5d846b90"
"ENSMFUG00003005100004","novel_gene_623_5d71f2e7"
"ENSMFUG00003015500004","novel_gene_1077_5d71f2e7"
"ENSMFUG00003052200004","novel_gene_1788_5d71f2e7"
"ENSMFUG00003072300004","novel_gene_1983_5d71f2e7"
"ENSMFUG00003068200004","novel_gene_1957_5d71f2e7"
"ENSMFUG00003064200004","novel_gene_1926_5d71f2e7"
"ENSMFUG00003071300004","novel_gene_2211_5d71f2e7"
"ENSMFUG00003070300244","novel_gene_108_5d846b90"
"ENSMFUG00003071600004","novel_gene_1974_5d71f2e7"
"ENSMFUG00003075500004","novel_gene_369_5d71f2e7"
"ENSMFUG00003067900004","novel_gene_1956_5d71f2e7"
"ENSMFUG00003011800004","novel_gene_2087_5d71f2e7_novel_gene_951_5d71f2e7"
"ENSMFUG00003082500004","novel_gene_2021_5d71f2e7"
"ENSMFUG00003053700004","novel_gene_1800_5d71f2e7"
"ENSMFUG00003003000244","novel_gene_6_5d769ab4"
"ENSMFUG00003002200004","novel_gene_517_5d71f2e7"
"ENSMFUG00003010500004","novel_gene_2025_5d71f2e7"
"ENSMFUG00003068300014","novel_gene_1958_5d71f2e7"
"ENSMFUG00003059500004","novel_gene_1861_5d71f2e7"
"ENSMFUG00003034200004","novel_gene_188_5d71f2e7"
"ENSMFUG00003062900244","novel_gene_415_5d769ab4"
"ENSMFUG00003000300004","novel_gene_440_5d71f2e7"
"ENSMFUG00003006800004","novel_gene_686_5d71f2e7"
"ENSMFUG00003039800004","novel_gene_223_5d71f2e7"
"ENSMFUG00003015400004","novel_gene_1076_5d71f2e7"
"ENSMFUG00003038300004","novel_gene_1534_5d71f2e7"
"ENSMFUG00003003600004","novel_gene_569_5d71f2e7"
"ENSMFUG00003047300004","novel_gene_2044_5d71f2e7"
"ENSMFUG00003061900004","novel_gene_1881_5d71f2e7"
"ENSMFUG00200000101013","novel_gene_3611_5d71f2e7"
"ENSMFUG00237000100004","novel_gene_3615_5d71f2e7"
"ENSMFUG00012046300004","novel_gene_1629_5d71f2e7"
"ENSMFUG00012027800244","novel_gene_1409_5d71f2e7"
"ENSMFUG00012016500004","novel_gene_1288_5d71f2e7"
"ENSMFUG00012021700004","novel_gene_633_5d71f2e7"
