"","circ_id","hsa1","hsa2","hsa3"
"534","1:59321535|59457076",NA,NA,"2.000"
"535","1:59339957|59378837",NA,"9.000","3.000"
"536","1:59605173|59605395",NA,NA,"1.000"
"537","1:5978211|5978401",NA,"2.000",NA
"538","1:5980050|5980194",NA,"2.000",NA
"539","1:61426638|61426796","1.000",NA,"2.000"
"540","1:61683416|61694770",NA,"1.000",NA
"541","1:61739902|61740043",NA,"1.000",NA
"542","1:61791347|61797428",NA,"2.000",NA
"543","1:61899582|61901459",NA,NA,"2.000"
"544","1:62013342|62017947",NA,"10.000",NA
"545","1:62170202|62170354","1.000",NA,NA
"546","1:62372623|62395686",NA,NA,"1.000"
"547","1:62577261|62578966",NA,"2.000",NA
"548","1:62858632|62858801",NA,NA,"1.000"
"549","1:64009304|64050716",NA,"9.000",NA
"550","1:64049690|64050716",NA,"17.000","1.000"
"551","1:64676894|64679756",NA,"2.000",NA
"552","1:64812737|64814840",NA,"5.000",NA
"553","1:65913244|65918835",NA,"1.000",NA
"554","1:66995271|66998576",NA,NA,"1.000"
"555","1:67635602|67635766",NA,"5.000",NA
"556","1:70292387|70315566",NA,"5.000",NA
"557","1:75060931|75061358","2.000",NA,NA
"558","1:75365070|75365239",NA,"1.000",NA
"559","1:75734790|75745914",NA,NA,"1.000"
"560","1:75749418|75750546",NA,NA,"4.000"
"561","1:76402988|76403206",NA,NA,"1.000"
"562","1:77711746|77715868",NA,"3.000",NA
"563","1:7777159|7778169",NA,NA,"2.000"
"564","1:77858937|77866391",NA,"6.000",NA
"565","1:79323426|79323589",NA,"8.000",NA
"566","1:79400197|79400426",NA,"1.000",NA
"567","1:80260814|80261122","1.000",NA,NA
"568","1:80386568|80386716",NA,"3.000",NA
